[08:48:53]设备[ID107Plus HTR]F4:13:79:5A:08:80连接了.....
[08:50:13] 10 11 01 0c 32 22 02 
[08:50:14] 46 6d 4d 84 ba c5 99 00 00 00 00 00 00 00 00 00 00 00 00 00 
[08:50:14] 46 a0 0d af a9 c5 99 01 00 00 00 01 01 01 03 04 03 08 0a 07 
[08:50:14] 46 b7 78 bb 60 c5 99 02 12 14 0e 24 29 1d 3e 46 33 58 63 48 
[08:50:14] 46 bb 60 bb 5f c5 99 03 6a 77 57 73 81 5e 77 86 62 79 89 64 
[08:50:14] 46 bb 5e bb 5d c5 99 04 79 8a 65 79 8a 65 79 8a 65 79 8a 64 
[08:50:14] 46 bb 5c bb 5b c5 99 05 79 8a 63 79 8b 63 79 8b 63 79 8b 63 
[08:50:14] 46 bb 5a bb 5a c5 99 06 79 8b 63 79 8b 63 79 8b 63 79 8b 63 
[08:50:14] 46 bb 5a bb 5b c5 99 07 79 8b 63 79 8b 63 79 8b 63 79 8b 63 
[08:50:14] 46 bb 5c bb 5d c5 99 08 79 8b 63 79 8b 63 79 8b 63 79 8b 63 
[08:50:15] 46 bb 5f bb 61 c5 99 09 79 8b 63 79 8b 63 79 8b 63 79 8b 63 
[08:50:15] 46 bb 63 bb 63 c5 99 0a 79 8b 63 79 8b 63 79 8b 63 79 8b 63 
[08:50:15] 46 bb 63 bb 64 c5 99 0b 79 8b 63 79 8b 63 79 8b 63 79 8b 63 
[08:50:15] 46 bb 65 bb 66 c5 99 0c 79 8b 63 79 8b 63 79 8b 63 79 8b 63 
[08:50:15] 46 bb 66 bb 66 c5 99 0d 79 8b 63 79 8b 63 79 8b 63 79 8b 63 
[08:50:15] 46 bb 65 bb 64 c5 99 0e 79 8b 63 79 8b 63 79 8b 63 7a 8b 63 
[08:50:15] 46 bb 62 bb 60 c5 99 0f 7a 8b 63 7a 8b 63 7a 8b 63 7a 8b 63 
[08:50:15] 46 bb 5d bb 59 c5 99 10 7a 8b 63 7a 8b 63 7a 8b 63 7a 8b 64 
[08:50:15] 46 bb 57 bb 55 c5 99 11 7a 8b 65 7b 8b 65 7b 8b 64 7b 8b 63 
[08:50:15] 46 bb 55 bb 56 c5 99 12 7b 8b 62 7b 8b 61 7b 8b 61 7b 8b 61 
[08:50:15] 46 bb 57 bb 58 c5 99 13 7b 8b 61 7b 8b 61 7b 8b 61 7b 8b 62 
[08:50:15] 10 11 01 0c 32 22 02 
[08:50:15] 46 bb 58 bb 59 c5 99 14 7b 8b 63 7b 8b 64 7b 8b 65 7b 8b 65 
[08:50:15] 46 bb 5a bb 5b c5 99 15 7b 8b 65 7b 8b 65 7b 8b 65 7b 8b 65 
[08:50:16] 46 bb 5b bb 5a c5 99 16 7b 8b 65 7b 8b 64 7b 8b 64 8b 63 46 
[08:50:16] 46 bb 59 bb 59 c5 99 17 7b 8b 64 7b 8b 63 7b 8b 63 7b 8b 63 
[08:50:16] 46 bb 59 bb 5a c5 99 18 7b 8b 63 7b 8a 63 7b 8a 63 7b 8a 63 
[08:50:16] 46 bb 5c bb 5e c5 99 19 7b 8a 63 7b 8a 63 7b 8a 63 7b 8a 63 
[08:50:16] 46 bb 61 bb 64 c5 99 1a 7b 8a 63 7b 8a 63 7b 8a 63 7b 8a 63 
[08:50:16] 46 bb 66 bb 69 c5 99 1b 7b 8a 62 7b 8a 62 7b 8a 62 7a 8a 62 
[08:50:16] 46 bb 6a bb 6c c5 99 1c 7a 8a 62 7a 8a 62 7a 8a 62 7a 8a 62 
[08:50:16] 46 bb 6a bb 65 c5 99 1d 7a 8a 62 7a 8a 62 7a 8a 62 7a 8a 62 
[08:50:16] 46 bb 58 bb 58 c5 99 1e 7a 8a 62 7a 8a 62 7a 8a 62 7a 8a 62 
[08:50:16] 46 bb 5e bb 6c c5 99 1f 7a 8a 62 7a 8a 62 7a 8a 62 7a 8a 62 
[08:50:16] 46 bb 7c bb 8c c5 99 20 7a 8a 62 7a 8a 62 7a 8a 62 7a 8a 62 
[08:50:16] 46 bb 97 bb 9d c5 99 21 7a 8a 62 7a 8a 62 7a 8a 62 7a 8a 62 
[08:50:16] 46 bb a1 bb a3 c5 99 22 7a 8b 62 7b 8c 62 7b 8d 62 7b 8e 63 
[08:50:17] 46 bb a5 bb a5 c5 99 23 7b 8f 64 7c 90 65 7d 8f 67 7d 8d 69 
[08:50:17] 46 bb a5 bb a5 c5 99 24 7c 8a 6b 7b 85 6e 79 7e 71 76 77 73 
